fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Bayern Munich -- Hertha Berlin,0.066742897,0.163123898,1.470133815,0.757776976,0.0192932,0,0,5,1,1,1,2,12,1,1,0,0,1,1,0,0.124256998,0,1.020177104,0,0.040159401,0,0,3,0,0,1,0,4,0,1,16/08/2019 19:30,0,0,2,0,0,2.477070786,1.184593502,1.71929381,1.184593502,0.249159995,0.164416399,2019,Bundesliga
Bayer Leverkusen -- Paderborn,0,0.037958901,2.476448102,0,0,0,0,4,0,0,0,2,11,0,0,0,0,3,0,0,0,0.031059,1.893047474,0,0,0,1,4,0,0,0,2,7,0,0,17/08/2019 14:30,0,0,2,0,0,2.514407003,1.924106474,2.514407003,1.924106474,0.037958901,0.031059,2019,Bundesliga
Borussia Dortmund -- Augsburg,0,0.249923505,2.884654527,0,0.124483202,0,0,9,0,0,0,5,15,0,2,0,0,5,0,0,0,0,0.891231628,0,0.0132503,0,0,1,0,0,0,0,4,0,1,17/08/2019 14:30,0,0,1,0,0,3.259061233,0.904481928,3.259061233,0.904481928,0.374406707,0.0132503,2019,Bundesliga
Freiburg -- Mainz 05,0.0439112,0.2430465,0.721134694,0.757776976,0.118145403,0,0,7,1,0,1,3,11,1,3,0,0,2,1,0,0,0.065548499,0.707907198,0,0.0107604,0,0,4,0,1,0,3,15,0,1,17/08/2019 14:30,0,0,0,0,0,1.884014772,0.784216098,1.126237797,0.784216098,0.405103102,0.0763089,2019,Bundesliga
Werder Bremen -- Fortuna Duesseldorf,0,0.181653399,1.354610787,0,0.483916316,0,0,8,0,2,0,7,14,0,3,0,0,1,0,0,0,0.118024197,0.897332614,0,0,0,1,6,0,0,0,4,8,0,0,17/08/2019 14:30,0,1,2,0,0,2.020180502,1.015356812,2.020180502,1.015356812,0.665569715,0.118024197,2019,Bundesliga
Wolfsburg -- FC Cologne,0.068235099,0,0.880265516,0,0.030800199,0,0,5,0,0,1,0,12,0,2,0,0,2,0,0,0,0.0616358,0.546329389,0,0.0540358,0,0,1,0,1,0,2,7,0,2,17/08/2019 14:30,0,0,1,0,0,0.979300815,0.662000989,0.979300815,0.662000989,0.099035298,0.115671599,2019,Bundesliga
Borussia M.Gladbach -- Schalke 04,0.066109203,0.082368501,1.282929024,0,0,1,0,3,0,0,1,4,11,0,0,0,0,0,0,0,0,0.074777603,0.600495508,0,0.085500099,0,1,0,0,0,0,1,6,0,1,17/08/2019 17:30,0,0,0,0,0,1.431406727,0.76077321,1.431406727,0.76077321,0.148477703,0.160277702,2019,Bundesliga
Eintracht Frankfurt -- Hoffenheim,0.0577024,0.121720001,1.537547672,0,0.128113002,1,2,4,0,0,1,3,10,0,1,0,1,0,0,0,0.049034402,0.039170001,0.538397798,0,0.00822907,1,0,0,0,0,1,1,6,0,1,18/08/2019 14:30,0,0,0,0,0,1.845083075,0.634831271,1.845083075,0.634831271,0.307535402,0.096433473,2019,Bundesliga
Union Berlin -- RasenBallsport Leipzig,0.038884301,0.077715999,0.669129627,0,0,1,0,1,0,0,1,2,10,0,0,0,0,0,0,0,0,0.409349903,3.808834016,0,0,0,0,8,0,0,0,3,11,0,0,18/08/2019 17:00,0,0,4,0,0,0.785729926,4.21818392,0.785729926,4.21818392,0.116600299,0.409349903,2019,Bundesliga
FC Cologne -- Borussia Dortmund,0,0.626575492,0.229906606,0,0.117317501,0,1,0,0,0,0,5,6,0,2,0,1,0,0,0,0.0468257,0.0906801,1.934771311,0,0.0095357,1,1,4,0,0,1,2,10,0,1,23/08/2019 19:30,0,1,2,0,0,0.9737996,2.08181281,0.9737996,2.08181281,0.743892994,0.1470415,2019,Bundesliga
