fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Manchester United -- Swansea,0.13396639376878738,0.6948585771024227,0.37758229952305555,0.0,0.0,1,1,3,0,0,2,3,9,0,0,0,1,0,0,0,2014-08-16 12:45:00,0.0,0.0,0.27807629108428955,0.0,0.0,0,0,4,0,0,0,0,5,0,0,2014-08-16 12:45:00,0,0,2,0,0,1.2064072703942657,0.27807629108428955,1.2064072703942657,0.27807629108428955,0.8288249708712101,0.0,2014,EPL
Leicester -- Everton,0.04798490181565285,0.49209899455308914,0.7543883379548788,0.0,0.0,0,1,2,0,0,1,2,8,0,0,0,1,1,0,0,2014-08-16 15:00:00,0.0,0.10102599952369928,0.5193739980459213,0.0,0.0,0,2,1,0,0,0,3,10,0,0,2014-08-16 15:00:00,0,1,1,0,0,1.2944722343236208,0.6203999975696206,1.2944722343236208,0.6203999975696206,0.540083896368742,0.10102599952369928,2014,EPL
Queens Park Rangers -- Hull,0.052688200026750565,0.32425107061862946,0.7499547144398093,0.7611690163612366,0.05278350040316582,0,0,4,1,0,1,6,10,1,1,0,0,0,0,0,2014-08-16 15:00:00,0.04341740161180496,0.23946989700198174,0.8346848879009485,0.0,0.0,1,1,2,0,0,1,3,7,0,0,2014-08-16 15:00:00,0,1,0,0,0,1.9408465018495917,1.1175721865147352,1.1796774854883552,1.1175721865147352,0.42972277104854584,0.2828872986137867,2014,EPL
Stoke -- Aston Villa,0.0,0.042183199897408485,0.2769044991582632,0.0,0.10467400029301643,0,0,2,0,0,0,2,8,0,2,0,0,0,0,0,2014-08-16 15:00:00,0.0,0.09586939960718155,0.6949759013950825,0.0,0.11892810091376305,0,0,1,0,0,0,1,4,0,2,2014-08-16 15:00:00,0,0,1,0,0,0.4237616993486881,0.9097734019160271,0.4237616993486881,0.9097734019160271,0.14685720019042492,0.2147975005209446,2014,EPL
West Bromwich Albion -- Sunderland,0.0,0.0,0.9222594825550914,0.7611690163612366,0.0,0,0,4,1,0,0,0,9,1,0,0,0,1,1,0,2014-08-16 15:00:00,0.04594159871339798,0.11415000259876251,0.528281913138926,0.0,0.303526908159256,0,0,1,0,1,1,1,3,0,2,2014-08-16 15:00:00,0,0,1,0,1,1.683428498916328,0.9919004226103425,0.9222594825550914,0.9919004226103425,0.0,0.4636185094714165,2014,EPL
West Ham -- Tottenham,0.0,0.3047153986990452,0.787214383482933,0.7611690163612366,0.0,0,0,4,0,0,0,5,12,1,0,0,0,0,0,0,2014-08-16 15:00:00,0.10551189817488194,0.022267699241638184,0.8892771806567907,0.0,0.0,1,0,3,0,0,2,1,7,0,0,2014-08-16 15:00:00,0,0,1,0,0,1.8530987985432148,1.0170567780733109,1.0919297821819782,1.0170567780733109,0.3047153986990452,0.12777959741652012,2014,EPL
Arsenal -- Crystal Palace,0.0,1.4457964841276407,0.25040259677916765,0.0,0.3064500093460083,0,2,3,0,1,0,4,9,0,1,0,1,0,0,1,2014-08-16 17:30:00,0.0,0.07641270011663437,0.08173834858462214,0.0,0.0,0,1,1,0,0,0,1,3,0,0,2014-08-16 17:30:00,0,1,0,0,0,2.0026490902528167,0.1581510487012565,2.0026490902528167,0.1581510487012565,1.752246493473649,0.07641270011663437,2014,EPL
Liverpool -- Southampton,0.0,0.15516230650246143,1.1767590763047338,0.0,0.0,0,1,4,0,0,0,2,10,0,0,0,0,2,0,0,2014-08-17 13:30:00,0.0,0.049674201756715775,1.5428463881835341,0.0,0.0,0,0,6,0,0,0,1,11,0,0,2014-08-17 13:30:00,0,0,1,0,0,1.3319213828071952,1.59252058994025,1.3319213828071952,1.59252058994025,0.15516230650246143,0.049674201756715775,2014,EPL
Newcastle United -- Manchester City,0.05550780147314072,0.06288640201091766,0.43234889954328537,0.0,0.4148402102291584,0,0,0,0,0,1,1,8,0,2,0,0,0,0,0,2014-08-17 16:00:00,0.06989820301532745,0.0,1.4343090075999498,0.0,0.0,0,0,5,0,0,1,0,12,0,0,2014-08-17 16:00:00,0,0,2,0,0,0.9655833132565022,1.5042072106152773,0.9655833132565022,1.5042072106152773,0.5332344137132168,0.06989820301532745,2014,EPL
Burnley -- Chelsea,0.0,0.0,0.37114059925079346,0.0,0.0,0,0,2,0,0,0,0,9,0,0,0,0,1,0,0,2014-08-18 20:00:00,0.05292920023202896,0.6645569130778313,1.4124707039445639,0.0,0.0,0,1,2,0,0,1,2,8,0,0,2014-08-18 20:00:00,0,1,2,0,0,0.37114059925079346,2.129956817254424,0.37114059925079346,2.129956817254424,0.0,0.7174861133098602,2014,EPL
Aston Villa -- Newcastle United,0.04014090076088905,0.0,0.4161424022167921,0.0,0.053005401045084,0,0,0,0,0,1,0,8,0,1,0,0,0,0,0,2014-08-23 12:45:00,0.05854729935526848,0.021586399525403976,0.5687059964984655,0.0,0.061156101524829865,0,1,2,0,1,1,1,8,0,1,2014-08-23 12:45:00,0,0,0,0,0,0.5092887040227652,0.7099957969039679,0.5092887040227652,0.7099957969039679,0.09314630180597305,0.14128980040550232,2014,EPL
Chelsea -- Leicester,0.0,0.19790900312364101,1.796560075134039,0.0,0.03628940135240555,0,1,9,0,0,0,5,21,0,1,0,0,2,0,0,2014-08-23 15:00:00,0.0,0.0,0.5508938133716583,0.0,0.0,0,0,4,0,0,0,0,6,0,0,2014-08-23 15:00:00,0,0,0,0,0,2.0307584796100855,0.5508938133716583,2.0307584796100855,0.5508938133716583,0.23419840447604656,0.0,2014,EPL
Crystal Palace -- West Ham,0.0,0.059890199452638626,0.5123792048543692,0.0,0.04552979953587055,0,1,3,0,0,0,1,6,0,2,0,0,1,0,0,2014-08-23 15:00:00,0.0,0.39637609757483006,0.4742622021585703,0.0,0.4698110893368721,0,2,4,0,2,0,4,11,0,2,2014-08-23 15:00:00,0,1,1,0,1,0.6177992038428783,1.3404493890702724,0.6177992038428783,1.3404493890702724,0.10541999898850918,0.8661871869117022,2014,EPL
Southampton -- West Bromwich Albion,0.03464389964938164,0.12272399663925171,0.5084846969693899,0.0,0.0,0,0,2,0,0,1,1,7,0,0,0,0,0,0,0,2014-08-23 15:00:00,0.04068370163440704,0.023240000009536743,0.5894059641286731,0.0,0.012462000362575054,1,0,1,0,0,1,1,5,0,1,2014-08-23 15:00:00,0,0,0,0,0,0.6658525932580233,0.6657916661351919,0.6658525932580233,0.6657916661351919,0.15736789628863335,0.07638570200651884,2014,EPL
Swansea -- Burnley,0.0,0.0,0.8162750899791718,0.0,0.09820320084691048,0,0,3,0,1,0,0,7,0,3,0,0,1,0,0,2014-08-23 15:00:00,0.06107030063867569,0.0,0.7362270001322031,0.0,0.04692260082811117,0,0,1,0,0,1,0,9,0,2,2014-08-23 15:00:00,0,0,0,0,0,0.9144782908260822,0.84421990159899,0.9144782908260822,0.84421990159899,0.09820320084691048,0.10799290146678686,2014,EPL
Everton -- Arsenal,0.05618859827518463,0.0,0.9575847573578358,0.0,0.3205209970474243,0,0,1,0,1,1,0,6,0,1,0,0,1,0,1,2014-08-23 17:30:00,0.0,0.07618279755115509,1.3260500067844987,0.0,0.03131439909338951,0,0,3,0,0,0,1,11,0,1,2014-08-23 17:30:00,0,0,2,0,0,1.3342943526804447,1.4335472034290433,1.3342943526804447,1.4335472034290433,0.37670959532260895,0.1074971966445446,2014,EPL
Hull -- Stoke,0.0,0.0,0.8254000851884484,0.0,0.05505789816379547,0,0,2,0,0,0,0,8,0,1,0,0,1,0,0,2014-08-24 13:30:00,0.06718660145998001,0.12739660404622555,1.3276904132217169,0.0,0.12226010113954544,0,0,2,0,1,1,3,13,0,2,2014-08-24 13:30:00,0,0,1,0,0,0.8804579833522439,1.6445337198674679,0.8804579833522439,1.6445337198674679,0.05505789816379547,0.316843306645751,2014,EPL
Tottenham -- Queens Park Rangers,0.046445298939943314,0.12514720112085342,2.147030722349882,0.0,0.07031620293855667,0,1,4,0,0,1,2,14,0,1,0,1,3,0,0,2014-08-24 13:30:00,0.0,0.6233873963356018,0.45278139784932137,0.0,0.0,0,0,1,0,0,0,3,6,0,0,2014-08-24 13:30:00,0,0,0,0,0,2.3889394253492355,1.0761687941849232,2.3889394253492355,1.0761687941849232,0.2419087029993534,0.6233873963356018,2014,EPL
Sunderland -- Manchester United,0.054647400975227356,0.17779210209846497,0.38771839905530214,0.0,0.0463314987719059,0,1,2,0,0,1,2,7,0,1,0,1,0,0,0,2014-08-24 16:00:00,0.0389803983271122,0.09967820346355438,0.8028983175754547,0.0,0.0,0,1,2,0,0,1,1,8,0,0,2014-08-24 16:00:00,0,0,1,0,0,0.6664894009009004,0.9415569193661213,0.6664894009009004,0.9415569193661213,0.2787710018455982,0.13865860179066658,2014,EPL
Manchester City -- Liverpool,0.0,0.03605419956147671,1.277696805074811,0.0,0.0,0,1,3,0,0,0,2,8,0,0,0,0,3,0,0,2014-08-25 20:00:00,0.0,0.029197100549936295,0.8726918483152986,0.0,0.0,0,0,3,0,0,0,1,10,0,0,2014-08-25 20:00:00,0,0,0,0,0,1.3137510046362877,0.9018889488652349,1.3137510046362877,0.9018889488652349,0.03605419956147671,0.029197100549936295,2014,EPL
Burnley -- Manchester United,0.09389990195631981,0.0,0.30111549608409405,0.0,0.11873109638690948,0,0,2,0,1,2,0,5,0,2,0,0,0,0,0,2014-08-30 12:45:00,0.0,0.12151279672980309,0.3457681015133858,0.0,0.0,0,0,1,0,0,0,2,5,0,0,2014-08-30 12:45:00,0,0,0,0,0,0.5137464944273233,0.46728089824318886,0.5137464944273233,0.46728089824318886,0.2126309983432293,0.12151279672980309,2014,EPL
Manchester City -- Stoke,0.050822000950574875,0.04264599923044443,0.8020248897373676,0.0,0.0,0,0,2,0,0,1,2,13,0,0,0,0,0,0,0,2014-08-30 15:00:00,0.0,0.0,0.29979189578443766,0.0,0.0,0,0,2,0,0,0,0,7,0,0,2014-08-30 15:00:00,0,0,1,0,0,0.8954928899183869,0.29979189578443766,0.8954928899183869,0.29979189578443766,0.0934680001810193,0.0,2014,EPL
Newcastle United -- Crystal Palace,0.0,0.09454940259456635,1.5688998997211456,0.0,0.061368441209197044,0,1,3,0,0,0,2,14,0,2,0,1,2,0,0,2014-08-30 15:00:00,0.0,0.0,1.6798366364091635,0.0,0.11798200011253357,0,0,6,0,1,0,0,11,0,1,2014-08-30 15:00:00,0,0,2,0,1,1.724817743524909,1.797818636521697,1.724817743524909,1.797818636521697,0.1559178438037634,0.11798200011253357,2014,EPL
Queens Park Rangers -- Sunderland,0.0,0.5265429988503456,0.7315102964639664,0.0,0.0147171001881361,0,1,2,0,1,0,2,15,0,1,0,1,0,0,0,2014-08-30 15:00:00,0.0,0.07758679799735546,0.8867566026747227,0.0,0.0,0,1,5,0,0,0,3,13,0,0,2014-08-30 15:00:00,0,0,0,0,0,1.272770395502448,0.9643434006720781,1.272770395502448,0.9643434006720781,0.5412600990384817,0.07758679799735546,2014,EPL
Swansea -- West Bromwich Albion,0.0,0.06036970019340515,1.794101057574153,0.0,0.1798717975616455,0,0,6,0,1,0,1,12,0,2,0,0,3,0,0,2014-08-30 15:00:00,0.05857529863715172,0.23812199756503105,0.2941869953647256,0.0,0.1065322021022439,0,0,2,0,0,1,3,9,0,3,2014-08-30 15:00:00,0,0,0,0,0,2.0343425553292036,0.6974164936691523,2.0343425553292036,0.6974164936691523,0.24024149775505066,0.40322949830442667,2014,EPL
West Ham -- Southampton,0.03175609931349754,0.0,0.025004899129271507,0.0,0.595321387052536,0,0,1,0,1,1,0,1,0,2,0,0,1,0,0,2014-08-30 15:00:00,0.06801269948482513,0.2612919956445694,1.0756320003420115,0.0,0.17306549660861492,0,1,4,0,2,1,2,12,0,3,2014-08-30 15:00:00,0,1,1,0,1,0.6520823854953051,1.578002192080021,0.6520823854953051,1.578002192080021,0.6270774863660336,0.5023701917380095,2014,EPL
