fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Manchester United -- Tottenham,0.147414699,0,0.4157819,0,0.064342201,0,0,1,0,0,2,0,6,0,1,0,0,0,0,0,08/08/2015 15:45,0,0.074438501,0.466911402,0,0.134373803,0,0,3,0,1,0,2,6,0,2,0,0,0,0,0,0.6275388,0.675723705,0.6275388,0.675723705,0.2117569,0.208812304,2015,EPL
Bournemouth -- Aston Villa,0,0,0.736924206,0,0.139182203,0,0,1,0,1,0,0,9,0,2,0,0,0,0,0,08/08/2015 18:00,0.097370803,0.374081999,0.314777199,0,0,0,1,2,0,0,1,1,5,0,0,0,1,0,0,0,0.876106408,0.786230002,0.876106408,0.786230002,0.139182203,0.471452802,2015,EPL
Everton -- Watford,0,0.310668297,0.293557691,0,0,0,1,4,0,0,0,2,8,0,0,0,0,2,0,0,08/08/2015 18:00,0,0,0.558456692,0,0,0,0,5,0,0,0,0,11,0,0,0,0,2,0,0,0.604225988,0.558456692,0.604225988,0.558456692,0.310668297,0,2015,EPL
Leicester -- Sunderland,0,0.068230499,1.705303688,0.761169016,0.033327801,0,1,5,1,1,0,2,14,1,2,0,0,2,1,1,08/08/2015 18:00,0,0.180304997,1.280530033,0,0,0,2,3,0,0,0,3,8,0,0,0,0,2,0,0,2.568031004,1.460835029,1.806861987,1.460835029,0.1015583,0.180304997,2015,EPL
Norwich -- Crystal Palace,0.044739299,0.046884801,0.988421485,0,0.050709799,0,0,5,0,0,1,1,14,0,1,0,0,1,0,0,08/08/2015 18:00,0,0.321473986,1.78827659,0,0,0,1,6,0,0,0,1,10,0,0,0,1,2,0,0,1.130755384,2.109750576,1.130755384,2.109750576,0.142333899,0.321473986,2015,EPL
Chelsea -- Swansea,0.040701602,0,0.489948494,0,0.120536998,1,0,2,0,0,1,0,9,0,1,1,0,0,0,0,08/08/2015 20:30,0.067128003,0.2544984,2.037594376,0.761169016,0,0,0,8,1,0,1,4,12,1,0,0,0,1,1,0,0.651187094,3.120389795,0.651187094,2.359220779,0.1612386,0.321626402,2015,EPL
Arsenal -- West Ham,0.063183799,0.0983024,1.111896086,0,0.060720298,0,1,4,0,1,1,2,18,0,1,0,0,0,0,0,09/08/2015 16:30,0,0.0406055,0.198294299,0,0.297060996,0,0,3,0,1,0,1,6,0,1,0,0,1,0,1,1.334102583,0.535960795,1.334102583,0.535960795,0.222206498,0.337666497,2015,EPL
Newcastle United -- Southampton,0,1.118928993,0.319359902,0,0.107844003,0,1,2,0,0,0,4,4,0,1,0,1,1,0,0,09/08/2015 16:30,0,0.112236001,0.685674304,0,0.45499,0,0,3,0,1,0,1,12,0,1,0,0,2,0,0,1.546132898,1.252900304,1.546132898,1.252900304,1.226772996,0.567226,2015,EPL
Stoke -- Liverpool,0,0,0.388441702,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,09/08/2015 19:00,0,0.087718599,0.210195196,0,0.0319595,0,1,1,0,1,0,1,6,0,1,0,0,1,0,0,0.388441702,0.329873295,0.388441702,0.329873295,0,0.119678099,2015,EPL
West Bromwich Albion -- Manchester City,0.089975398,0.132235005,0.213027596,0,0,0,0,2,0,0,2,1,6,0,0,0,0,0,0,0,10/08/2015 23:00,0.08506,0.0179167,1.879576407,0,0,1,1,5,0,0,2,1,17,0,0,0,1,2,0,0,0.435238,1.982553108,0.435238,1.982553108,0.222210404,0.1029767,2015,EPL
