fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Arsenal -- Leicester,0,0.159251899,2.36671889,0,0.017316099,0,2,8,0,0,0,5,21,0,1,0,2,2,0,0,0,0.690925971,0.774020124,0,0,0,2,1,0,0,0,2,4,0,0,11/08/2017 19:45,0,2,1,0,0,2.543286888,1.464946095,2.543286888,1.464946095,0.176567998,0.690925971,2017,EPL
Watford -- Liverpool,0,1.365035892,0.816565338,0,0.043352701,0,2,1,0,1,0,3,5,0,1,0,2,1,0,0,0,0.172257803,1.732662607,0.761169016,0,0,1,3,1,0,0,2,11,1,0,12/08/2017 12:30,0,0,2,1,0,2.22495393,2.666089427,2.22495393,1.90492041,1.408388592,0.172257803,2017,EPL
Chelsea -- Burnley,0.051251601,0.175248802,1.040900647,0,0.0891046,1,0,5,0,0,1,5,12,0,1,0,0,2,0,0,0.179545,0.0443462,0.222177897,0,0.128878003,0,1,2,0,2,1,3,4,0,2,12/08/2017 15:00,0,0,2,0,1,1.35650565,0.5749471,1.35650565,0.5749471,0.315605003,0.352769203,2017,EPL
Crystal Palace -- Huddersfield,0.131416898,0.383977497,0.473538812,0,0,1,1,2,0,0,3,7,5,0,0,0,0,0,0,0,0,0.975793019,0.760775102,0,0,0,0,6,0,0,0,2,7,0,0,12/08/2017 15:00,0,0,2,0,0,0.988933207,1.736568121,0.988933207,1.736568121,0.515394395,0.975793019,2017,EPL
Everton -- Stoke,0,0.029389899,0.691183988,0,0,0,0,4,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0.245748899,0,0.0309105,0,0,1,0,0,0,0,7,0,2,12/08/2017 15:00,0,0,0,0,0,0.720573887,0.276659399,0.720573887,0.276659399,0.029389899,0.0309105,2017,EPL
Southampton -- Swansea,0.0593054,0.406153303,1.753887871,0,0,0,0,2,0,0,1,5,23,0,0,0,0,0,0,0,0,0,0.416653505,0,0,0,0,0,0,0,0,0,4,0,0,12/08/2017 15:00,0,0,0,0,0,2.219346574,0.416653505,2.219346574,0.416653505,0.465458702,0,2017,EPL
West Bromwich Albion -- Bournemouth,0,0.322901807,0.484643915,0,0.376446009,0,1,4,0,1,0,4,11,0,1,0,0,0,0,1,0,0.072300397,0.261337802,0,0.045020599,0,0,1,0,1,0,1,7,0,1,12/08/2017 15:00,0,0,0,0,0,1.18399173,0.378658798,1.18399173,0.378658798,0.699347815,0.117320996,2017,EPL
Brighton -- Manchester City,0,0.254099101,0,0,0.0346337,0,1,0,0,1,0,5,1,0,1,0,0,0,0,0,0.101696,0.0141416,2.141806103,0,0,1,0,3,0,0,2,1,11,0,0,12/08/2017 17:30,0,0,1,0,0,0.288732801,2.257643702,0.288732801,2.257643702,0.288732801,0.115837599,2017,EPL
Newcastle United -- Tottenham,0,0,0.592712704,0,0.049386099,0,0,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0.0231038,2.179578206,0,0.141501993,0,0,6,0,0,0,1,16,0,1,13/08/2017 13:30,0,0,2,0,0,0.642098803,2.344183998,0.642098803,2.344183998,0.049386099,0.164605793,2017,EPL
Manchester United -- West Ham,0,0.0642302,2.174186049,0,0.400108993,0,0,4,0,1,0,3,17,0,1,0,0,3,0,1,0,0.323608011,0.302932594,0,0,0,0,1,0,0,0,1,8,0,0,13/08/2017 16:00,0,0,0,0,0,2.638525242,0.626540605,2.638525242,0.626540605,0.464339193,0.323608011,2017,EPL
