fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Malaga -- Athletic Club,0.08890079706907272,0.012672900222241879,0.336499597877264,0.7432780265808105,0.5442600250244141,1,0,0,1,1,1,1,8,1,1,0,0,0,0,1,2014-08-23 18:00:00,0.0,0.0,0.9911227943375707,0.0,0.1503869965672493,0,0,5,0,0,0,0,10,0,2,2014-08-23 18:00:00,0,0,0,0,0,1.7256113467738032,1.14150979090482,0.9823333201929927,1.14150979090482,0.6458337223157287,0.1503869965672493,2014,La Liga
Granada -- Deportivo La Coruna,0.0477508008480072,0.220758899115026,0.1159575991332531,0.0,0.1638830006122589,0,0,2,0,1,1,3,4,0,2,0,0,1,0,1,2014-08-23 20:00:00,0.0,0.0,0.3822738975286484,0.0,0.0,0,0,1,0,0,0,0,8,0,0,2014-08-23 20:00:00,0,0,1,0,0,0.5483502997085452,0.3822738975286484,0.5483502997085452,0.3822738975286484,0.4323927005752921,0.0,2014,La Liga
Sevilla -- Valencia,0.0,0.08799100108444691,1.1422065924853086,0.0,0.036415799520909786,0,1,2,0,0,0,2,8,0,2,0,0,1,0,0,2014-08-23 20:00:00,0.18863629922270775,0.9037393927574158,0.7097989041358232,0.0,0.0,0,1,0,0,0,2,2,7,0,0,2014-08-23 20:00:00,0,1,0,0,0,1.2666133930906653,1.8021745961159468,1.2666133930906653,1.8021745961159468,0.1244068006053567,1.0923756919801235,2014,La Liga
Almeria -- Espanyol,0.0,0.1752271968871355,0.7857297072187066,0.0,0.017830800265073776,0,1,4,0,1,0,6,12,0,1,0,0,1,0,0,2014-08-23 22:00:00,0.0,0.09732200112193823,0.27603030018508434,0.0,0.025953199714422226,0,0,2,0,0,0,3,7,0,2,2014-08-23 22:00:00,0,0,1,0,0,0.9787877043709159,0.3993055010214448,0.9787877043709159,0.3993055010214448,0.19305799715220928,0.12327520083636045,2014,La Liga
Eibar -- Real Sociedad,0.07095199823379517,0.0822553001344204,0.21029359940439463,0.0,0.10229700058698654,1,0,4,0,0,1,2,8,0,1,1,0,0,0,0,2014-08-24 18:00:00,0.042632900178432465,0.46819840371608734,0.4466542014852166,0.0,0.04483830090612173,0,1,3,0,0,1,4,12,0,2,2014-08-24 18:00:00,0,0,0,0,0,0.46579789835959673,1.0023238062858582,0.46579789835959673,1.0023238062858582,0.2555042989552021,0.5556696048006415,2014,La Liga
Barcelona -- Elche,0.0,0.02256149984896183,1.4690751358866692,0.0,0.049600500613451004,0,0,6,0,0,0,1,10,0,1,0,0,3,0,0,2014-08-24 20:00:00,0.07391870021820068,0.0,0.034121098928153515,0.0,0.0,0,0,0,0,0,1,0,2,0,0,2014-08-24 20:00:00,0,0,0,0,0,1.541237136349082,0.1080397991463542,1.541237136349082,0.1080397991463542,0.07216200046241283,0.07391870021820068,2014,La Liga
Celta Vigo -- Getafe,0.0,0.1283757984638214,1.7954163951799273,0.0,0.0,0,0,9,0,0,0,2,18,0,0,0,0,3,0,0,2014-08-24 20:00:00,0.11033489927649498,0.0,0.39979599229991436,0.0,0.16383430361747742,0,0,3,0,0,2,0,8,0,2,2014-08-24 20:00:00,0,0,1,0,0,1.9237921936437488,0.6739651951938868,1.9237921936437488,0.6739651951938868,0.1283757984638214,0.2741692028939724,2014,La Liga
Levante -- Villarreal,0.0934147983789444,0.0,0.2520198281854391,0.0,0.0,1,0,1,0,0,2,0,7,0,0,0,0,0,0,0,2014-08-24 22:00:00,0.0,0.15872790291905403,2.855390654876828,0.0,0.0,0,1,4,0,0,0,2,10,0,0,2014-08-24 22:00:00,0,0,2,0,0,0.3454346265643835,3.0141185577958822,0.3454346265643835,3.0141185577958822,0.0934147983789444,0.15872790291905403,2014,La Liga
Real Madrid -- Cordoba,0.04238170012831688,0.1126734996214509,0.3909949064254761,0.0,0.06659500300884247,0,2,5,0,1,1,4,8,0,1,0,1,1,0,0,2014-08-25 19:00:00,0.0,0.1946639996021986,0.1837464990094304,0.0,0.0,0,0,2,0,0,0,3,5,0,0,2014-08-25 19:00:00,0,0,0,0,0,0.6126451091840863,0.378410498611629,0.6126451091840863,0.378410498611629,0.22165020275861025,0.1946639996021986,2014,La Liga
Rayo Vallecano -- Atletico Madrid,0.0,0.034186698496341705,0.3231501579284668,0.0,0.0,0,0,2,0,0,0,1,7,0,0,0,0,0,0,0,2014-08-25 21:00:00,0.0,0.06465979665517807,0.7403000299818814,0.0,0.09662720002233982,0,0,2,0,0,0,1,6,0,2,2014-08-25 21:00:00,0,0,0,0,0,0.3573368564248085,0.9015870266593993,0.3573368564248085,0.9015870266593993,0.034186698496341705,0.1612869966775179,2014,La Liga
Getafe -- Almeria,0.0,0.0,1.3407304687425494,0.0,0.0,0,0,3,0,0,0,0,12,0,0,0,0,1,0,0,2014-08-29 19:00:00,0.0,0.07990530133247375,1.2181820133700967,0.0,0.012703600339591503,0,1,2,0,1,0,1,9,0,1,2014-08-29 19:00:00,0,0,0,0,0,1.3407304687425494,1.310790915042162,1.3407304687425494,1.310790915042162,0.0,0.09260890167206526,2014,La Liga
Valencia -- Malaga,0.037096500396728516,0.12779100239276886,0.904751680791378,0.7432780265808105,0.606544017791748,0,0,2,1,1,1,1,10,1,1,0,0,2,0,1,2014-08-29 21:00:00,0.11562030389904976,0.08206559717655182,0.9053157949820161,0.0,0.028958600014448166,0,0,4,0,0,2,2,12,0,1,2014-08-29 21:00:00,0,0,0,0,0,2.419461227953434,1.1319602960720658,1.6761832013726234,1.1319602960720658,0.7714315205812454,0.22664450109004974,2014,La Liga
Athletic Club -- Levante,0.0,0.4821529984474182,1.4977461881935596,0.0,0.3813529908657074,0,1,3,0,1,0,1,8,0,1,0,1,1,0,1,2014-08-30 18:00:00,0.0,0.07858730107545853,0.2278367942199111,0.0,0.025078199803829193,0,0,1,0,1,0,2,7,0,1,2014-08-30 18:00:00,0,0,0,0,0,2.3612521775066853,0.3315022950991988,2.3612521775066853,0.3315022950991988,0.8635059893131256,0.10366550087928772,2014,La Liga
Cordoba -- Celta Vigo,0.0,0.0,0.1701155984774232,0.0,0.0713886022567749,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,2014-08-30 18:00:00,0.0,0.02225719951093197,0.7695853039622307,0.0,0.0,0,0,4,0,0,0,1,9,0,0,2014-08-30 18:00:00,0,0,1,0,0,0.2415042007341981,0.7918425034731627,0.2415042007341981,0.7918425034731627,0.0713886022567749,0.02225719951093197,2014,La Liga
Atletico Madrid -- Eibar,0.11842600256204605,0.4136059880256653,0.3026446010917425,0.0,0.5367859117686749,0,1,4,0,1,1,1,9,0,3,0,1,0,0,1,2014-08-30 20:00:00,0.14293399453163147,0.0,0.5592778930440545,0.0,0.1673256978392601,1,0,1,0,0,1,0,5,0,2,2014-08-30 20:00:00,0,0,1,0,0,1.3714625034481287,0.8695375854149461,1.3714625034481287,0.8695375854149461,1.0688179023563862,0.31025969237089157,2014,La Liga
Espanyol -- Sevilla,0.0,0.0,1.2155513763427734,0.0,0.0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,2014-08-30 22:00:00,0.06962969899177551,0.03604859858751297,0.8944291993975639,0.0,0.3600049912929535,0,0,5,0,1,1,1,10,0,1,2014-08-30 22:00:00,0,0,1,0,1,1.2155513763427734,1.360112488269806,1.2155513763427734,1.360112488269806,0.0,0.465683288872242,2014,La Liga
Villarreal -- Barcelona,0.0,0.7778039872646332,0.2451774012297392,0.0,0.08865299820899963,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,2014-08-31 18:00:00,0.12012159824371338,0.14070390164852142,3.164504655636847,0.0,0.0,2,0,5,0,0,2,3,15,0,0,2014-08-31 18:00:00,0,0,1,0,0,1.111634386703372,3.425330155529082,1.111634386703372,3.425330155529082,0.8664569854736328,0.2608254998922348,2014,La Liga
Deportivo La Coruna -- Rayo Vallecano,0.0,0.062473900616168976,1.0601537972688675,0.7432780265808105,0.033531900495290756,0,0,4,1,0,0,1,7,1,1,0,0,1,1,0,2014-08-31 20:00:00,0.1167168989777565,0.09213239699602127,2.0270134899765253,0.0,0.0,0,0,2,0,0,2,1,9,0,0,2014-08-31 20:00:00,0,0,2,0,0,1.8994376249611378,2.235862785950303,1.1561595983803272,2.235862785950303,0.09600580111145973,0.20884929597377777,2014,La Liga
Real Sociedad -- Real Madrid,0.0,0.743305079638958,1.9571225568652153,0.0,0.04056549817323685,0,2,3,0,0,0,4,8,0,1,0,2,2,0,0,2014-08-31 20:00:00,0.14994940161705017,0.7119164727628231,1.3140533957630396,0.0,0.16699540056288242,0,1,4,0,0,2,4,10,0,3,2014-08-31 20:00:00,0,1,1,0,0,2.74099313467741,2.3429146707057953,2.74099313467741,2.3429146707057953,0.7838705778121948,1.0288612749427557,2014,La Liga
Elche -- Granada,0.03285760059952736,0.6540900245308876,0.51657709851861,0.0,0.15299279801547527,0,0,2,0,1,1,2,9,0,3,0,0,0,0,1,2014-08-31 22:00:00,0.0652804970741272,0.0,0.23526090569794178,0.0,0.532351016998291,1,0,1,0,1,1,0,2,0,2,2014-08-31 22:00:00,0,0,1,0,0,1.3565175216645002,0.83289241977036,1.3565175216645002,0.83289241977036,0.8399404231458902,0.5976315140724182,2014,La Liga
Almeria -- Cordoba,0.0,0.24362300336360931,0.7678502853959799,0.0,0.024809900671243668,0,0,2,0,0,0,4,7,0,1,0,0,1,0,0,2014-09-12 20:00:00,0.04843379929661751,0.0,0.7152223084121943,0.0,0.0,1,0,3,0,0,1,0,10,0,0,2014-09-12 20:00:00,0,0,1,0,0,1.0362831894308329,0.7636561077088118,1.0362831894308329,0.7636561077088118,0.268432904034853,0.04843379929661751,2014,La Liga
Barcelona -- Athletic Club,0.0,0.0,2.177203617990017,0.0,0.0,0,0,8,0,0,0,0,14,0,0,0,0,2,0,0,2014-09-13 15:00:00,0.0,0.0,0.09797069802880287,0.0,0.0,0,0,2,0,0,0,0,3,0,0,2014-09-13 15:00:00,0,0,0,0,0,2.177203617990017,0.09797069802880287,2.177203617990017,0.09797069802880287,0.0,0.0,2014,La Liga
Malaga -- Levante,0.0,0.19134080037474632,0.628384199924767,0.0,0.0,0,3,4,0,0,0,6,12,0,0,0,0,0,0,0,2014-09-13 17:00:00,0.054110199213027954,0.03405430167913437,0.2701010024175048,0.0,0.0,0,0,0,0,0,1,1,8,0,0,2014-09-13 17:00:00,0,0,0,0,0,0.8197250002995133,0.3582655033096671,0.8197250002995133,0.3582655033096671,0.19134080037474632,0.08816450089216232,2014,La Liga
Real Madrid -- Atletico Madrid,0.08920449763536453,0.08011550083756447,0.6751818051561713,0.7432780265808105,0.0,1,0,2,1,0,1,3,16,1,0,0,0,0,1,0,2014-09-13 19:00:00,0.0,0.5754658821970224,0.5350711904466152,0.0,0.0,0,1,1,0,0,0,2,7,0,0,2014-09-13 19:00:00,0,1,1,0,0,1.5877798302099109,1.1105370726436377,0.8445018036291003,1.1105370726436377,0.169319998472929,0.5754658821970224,2014,La Liga
Celta Vigo -- Real Sociedad,0.07969950139522552,0.032784998416900635,3.101097786799073,0.0,0.09628330171108246,0,0,5,0,1,1,1,11,0,1,0,0,2,0,0,2014-09-13 21:00:00,0.0,0.09228959865868092,1.2008962417021394,0.0,0.01824519969522953,0,0,5,0,0,0,4,14,0,1,2014-09-13 21:00:00,0,0,1,0,0,3.309865588322282,1.3114310400560498,3.309865588322282,1.3114310400560498,0.20876780152320862,0.11053479835391045,2014,La Liga
