fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Reims -- Paris Saint Germain,0,0,0.7349468,0,0.632920697,0,0,2,0,1,0,0,7,0,2,0,0,1,0,1,0.0834307,0.012133,1.799725791,0.760095,0,0,0,3,1,0,2,1,12,1,0,08/08/2014 19:30,0,0,2,0,0,1.367867498,2.655384492,1.367867498,1.895289492,0.632920697,0.0955637,2014,Ligue1
Evian Thonon Gaillard -- Caen,0,0.040755,0.772982643,0,0,0,0,2,0,0,0,1,8,0,0,0,0,0,0,0,0,0.072105899,1.184432818,0,0,0,0,7,0,0,0,1,11,0,0,09/08/2014 20:00,0,0,3,0,0,0.813737642,1.256538717,0.813737642,1.256538717,0.040755,0.072105899,2014,Ligue1
Guingamp -- Saint-Etienne,0,0.1743806,0.458559314,0,0,0,1,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0.735228192,0.760095,0,0,0,1,1,0,0,0,6,1,0,09/08/2014 20:00,0,0,1,1,0,0.632939914,1.495323192,0.632939914,0.735228192,0.1743806,0,2014,Ligue1
Lille -- Metz,0.1089698,0.183015406,0.618046399,0,0.651553512,0,0,1,0,2,2,2,7,0,3,0,0,0,0,0,0.0399401,0,0.017197,0,0,0,0,1,0,0,1,0,1,0,0,09/08/2014 20:00,0,0,0,0,0,1.561585117,0.0571371,1.561585117,0.0571371,0.943538718,0.0399401,2014,Ligue1
Montpellier -- Bordeaux,0.050038502,0.142316405,0.574870001,0,0.254971894,0,0,3,0,0,1,2,10,0,2,0,0,0,0,0,0,0,0.750185103,0,0,0,0,3,0,0,0,0,7,0,0,09/08/2014 20:00,0,0,1,0,0,1.0221968,0.750185103,1.0221968,0.750185103,0.4473268,0,2014,Ligue1
Nantes -- Lens,0,0,1.024996378,0,0,0,0,4,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0.167128404,0,0,0,0,2,0,0,0,0,5,0,0,09/08/2014 20:00,0,0,0,0,0,1.024996378,0.167128404,1.024996378,0.167128404,0,0,2014,Ligue1
Nice -- Toulouse,0,0.767144591,1.451028818,0,0,0,2,6,0,0,0,4,18,0,0,0,0,3,0,0,0,0.0153467,1.548266689,0,0,0,0,6,0,0,0,1,10,0,0,09/08/2014 20:00,0,0,2,0,0,2.218173408,1.56361339,2.218173408,1.56361339,0.767144591,0.0153467,2014,Ligue1
SC Bastia -- Marseille,0.091424897,0,0.264848903,0.760095,0.296956401,0,0,3,1,0,1,0,8,1,5,0,0,2,1,0,0.046153702,0,0.498085507,0.760095,0.0131748,1,0,2,1,0,1,0,6,1,1,09/08/2014 20:00,0,0,1,1,0,1.413325202,1.31750901,0.653230201,0.557414009,0.388381299,0.059328502,2014,Ligue1
Lyon -- Rennes,0.050025102,0.284299504,0.958063918,0.760095,0.0121205,0,1,4,1,0,1,3,13,1,1,0,0,1,1,0,0.092674401,0.060202301,0.161026001,0,0.0620436,0,0,1,0,0,2,1,3,0,1,10/08/2014 16:00,0,0,0,0,0,2.064604024,0.375946302,1.304509024,0.375946302,0.346445106,0.214920301,2014,Ligue1
Monaco -- Lorient,0,0.2513182,0.996653898,0.760095,0.085265599,0,2,4,1,0,0,4,7,1,1,0,0,0,1,0,0.058362499,0.1250384,0.654352993,0.760029018,0.028606201,0,0,2,1,0,1,3,2,1,2,10/08/2014 20:00,0,0,1,1,0,2.093332698,1.62638911,1.333237697,0.866360093,0.3365838,0.2120071,2014,Ligue1
