fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Lille -- Paris Saint Germain,0.13724449649453163,0.0,0.6837603086605668,0.0,0.09481469728052616,1,0,1,0,0,3,0,7,0,2,0,0,0,0,0,2015-08-07 22:30:00,0.059558600187301636,0.03722599893808365,1.1487221904098988,0.0,0.08906889706850052,1,0,1,0,0,1,1,4,0,1,2015-08-07 22:30:00,0,0,1,0,0,0.9158195024356246,1.3345756866037846,0.9158195024356246,1.3345756866037846,0.2320591937750578,0.1858534961938858,2015,Ligue1
Marseille -- Caen,0.0,1.4020928218960762,0.8125557890161872,0.0,0.0,0,2,3,0,0,0,5,13,0,0,0,0,0,0,0,2015-08-08 23:00:00,0.0,0.039885299280285835,0.9057730985805392,0.0,0.0,0,1,3,0,0,0,2,6,0,0,2015-08-08 23:00:00,0,0,1,0,0,2.2146486109122634,0.9456583978608251,2.2146486109122634,0.9456583978608251,1.4020928218960762,0.039885299280285835,2015,Ligue1
Montpellier -- Angers,0.04577679932117462,0.0,0.47771910578012466,0.0,0.18255069851875305,1,0,2,0,1,1,0,8,0,2,0,0,0,0,0,2015-08-08 23:00:00,0.0,0.2294045016169548,0.9009077018126845,0.0,0.41467301547527313,0,1,2,0,1,0,3,9,0,2,2015-08-08 23:00:00,0,0,1,0,1,0.7060466036200523,1.5449852189049125,0.7060466036200523,1.5449852189049125,0.22832749783992767,0.6440775170922279,2015,Ligue1
Nantes -- Guingamp,0.0,0.041170600801706314,0.23196959868073463,0.0,0.0,0,0,4,0,0,0,1,8,0,0,0,0,0,0,0,2015-08-08 23:00:00,0.0,0.1120619997382164,0.2947034016251564,0.0,0.0,0,1,3,0,0,0,1,10,0,0,2015-08-08 23:00:00,0,0,0,0,0,0.27314019948244095,0.4067654013633728,0.27314019948244095,0.4067654013633728,0.041170600801706314,0.1120619997382164,2015,Ligue1
Nice -- Monaco,0.031397800892591476,0.0,0.42847550474107265,0.0,0.0,0,0,2,0,0,1,0,5,0,0,0,0,1,0,0,2015-08-08 23:00:00,0.05289569869637489,0.6302415020763874,2.7893635034561157,0.0,0.06530129909515381,1,1,4,0,0,1,3,13,0,1,2015-08-08 23:00:00,0,0,2,0,0,0.45987330563366413,3.537802003324032,0.45987330563366413,3.537802003324032,0.031397800892591476,0.7484384998679161,2015,Ligue1
SC Bastia -- Rennes,0.0,0.15017320215702057,0.310782004147768,0.0,0.0,0,1,1,0,0,0,2,9,0,0,0,1,1,0,0,2015-08-08 23:00:00,0.0,0.0,0.7987405862659216,0.0,0.0,0,0,3,0,0,0,0,6,0,0,2015-08-08 23:00:00,0,0,1,0,0,0.4609552063047886,0.7987405862659216,0.4609552063047886,0.7987405862659216,0.15017320215702057,0.0,2015,Ligue1
Troyes -- GFC Ajaccio,0.0,0.0,0.38047399558126926,0.0,0.013984300196170807,0,0,4,0,0,0,0,11,0,1,0,0,0,0,0,2015-08-08 23:00:00,0.0,0.1701887995004654,0.1294905012473464,0.7600950002670288,0.0,0,0,1,0,0,0,3,3,1,0,2015-08-08 23:00:00,0,0,0,0,0,0.39445829577744007,1.0597743010148406,0.39445829577744007,0.2996793007478118,0.013984300196170807,0.1701887995004654,2015,Ligue1
Bordeaux -- Reims,0.0,0.04101490043103695,1.0655366824939847,0.0,0.0,0,0,4,0,0,0,2,11,0,0,0,0,1,0,0,2015-08-09 19:00:00,0.0697740986943245,0.10915500298142433,1.9579656831920147,0.0,0.08506039995700121,1,0,5,0,0,1,2,8,0,3,2015-08-09 19:00:00,0,0,2,0,0,1.1065515829250216,2.2219551848247647,1.1065515829250216,2.2219551848247647,0.04101490043103695,0.26398950163275003,2015,Ligue1
Toulouse -- Saint-Etienne,0.10737629979848862,0.0,0.3761430960148573,0.0,0.0,2,0,1,0,0,2,0,7,0,0,2,0,0,0,0,2015-08-09 19:00:00,0.0,0.3184159994125366,0.609724348410964,0.0,0.0,0,1,1,0,0,0,1,10,0,0,2015-08-09 19:00:00,0,1,0,0,0,0.4835193958133459,0.9281403478235006,0.4835193958133459,0.9281403478235006,0.10737629979848862,0.3184159994125366,2015,Ligue1
Lyon -- Lorient,0.1423729993402958,0.12131039798259735,0.7190150059759617,0.0,0.11727800220251083,0,1,5,0,0,3,3,14,0,1,0,0,0,0,0,2015-08-09 23:00:00,0.0,0.0,0.7684888057410717,0.0,0.0,0,0,4,0,0,0,0,8,0,0,2015-08-09 23:00:00,0,0,0,0,0,1.0999764055013657,0.7684888057410717,1.0999764055013657,0.7684888057410717,0.380961399525404,0.0,2015,Ligue1
