fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Lyon -- Ajaccio,0,0.033338,1.063312594,0.760095,0,0,1,4,1,0,0,2,8,1,0,0,0,1,1,0,05/08/2022 19:00,0,0.100561999,0.277859301,0.760095,0,0,1,2,1,0,0,1,6,1,0,0,0,0,1,0,1.856745594,1.1385163,1.096650594,0.3784213,0.033338,0.100561999,2022,Ligue1
Strasbourg -- Monaco,0.050822601,0.032195099,1.308157502,0,0,0,0,7,0,0,1,1,9,0,0,0,0,1,0,0,06/08/2022 15:00,0.034811102,0.070193801,2.059177003,0,0.338365696,0,2,8,0,1,1,3,16,0,4,0,1,1,0,0,1.391175201,2.502547602,1.391175201,2.502547602,0.083017699,0.443370599,2022,Ligue1
Clermont Foot -- Paris Saint Germain,0.0495984,0,0.145333102,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,06/08/2022 19:00,0.0797043,0.432343997,3.121338336,0,0.485485986,0,2,9,0,1,1,2,13,0,2,0,0,4,0,1,0.194931502,4.118872618,0.194931502,4.118872618,0.0495984,0.997534283,2022,Ligue1
Toulouse -- Nice,0,0.064555502,1.789830308,0,0,0,1,2,0,0,0,2,4,0,0,0,0,1,0,0,07/08/2022 11:00,0.137039006,0,0.562340995,0,0,0,0,4,0,0,1,0,10,0,0,0,0,1,0,0,1.85438581,0.699380001,1.85438581,0.699380001,0.064555502,0.137039006,2022,Ligue1
Angers -- Nantes,0,0.230399597,1.68569221,0,0,0,0,6,0,0,0,3,13,0,0,0,0,0,0,0,07/08/2022 13:00,0.0377074,0.357921295,0.756623417,0,0,0,2,2,0,0,1,5,8,0,0,0,0,0,0,0,1.916091807,1.152252112,1.916091807,1.152252112,0.230399597,0.395628694,2022,Ligue1
Lens -- Brest,0,0.53406029,2.048442684,0.760095,0.0100682,0,1,5,1,0,0,5,9,1,1,0,1,2,0,0,07/08/2022 13:00,0,0.086052999,0.196136599,0.760095,0,0,1,2,1,0,0,1,4,1,0,0,0,1,1,0,3.352666174,1.042284599,2.592571174,0.282189598,0.54412849,0.086052999,2022,Ligue1
Lille -- Auxerre,0.059196301,0,1.226166796,0,0.0145674,1,0,6,0,0,1,0,14,0,1,0,0,4,0,0,07/08/2022 13:00,0,0.0414313,0.637261584,0,0.091232998,0,1,1,0,0,0,1,7,0,2,0,0,1,0,0,1.299930497,0.769925883,1.299930497,0.769925883,0.073763701,0.132664299,2022,Ligue1
Montpellier -- Troyes,0,0.502983987,1.076706412,0,0,0,0,6,0,0,0,1,16,0,0,0,0,3,0,0,07/08/2022 13:00,0,0.0126053,1.011832776,0.760095,0.058206599,0,0,8,1,1,0,1,12,1,1,0,0,1,1,0,1.5796904,1.842739676,1.5796904,1.082644675,0.502983987,0.070811899,2022,Ligue1
Rennes -- Lorient,0,0.191650003,1.234878896,0,0,0,1,5,0,0,0,4,18,0,0,0,0,0,0,0,07/08/2022 15:05,0.043831602,0,0.711788433,0,0,1,0,1,0,0,1,0,7,0,0,0,0,0,0,0,1.426528899,0.755620034,1.426528899,0.755620034,0.191650003,0.043831602,2022,Ligue1
Marseille -- Reims,0,0.300572403,2.380552005,0,0.109912001,0,1,4,0,1,0,5,10,0,1,0,1,2,0,0,07/08/2022 18:45,0,0.310527205,0.365566934,0,0,0,1,5,0,0,0,5,12,0,0,0,0,1,0,0,2.791036408,0.676094139,2.791036408,0.676094139,0.410484403,0.310527205,2022,Ligue1
