fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Chievo -- Juventus,0,0.015838601,0.452792787,0,0.042726502,0,0,2,0,0,0,2,5,0,1,0,0,0,0,0,0.100261003,0.622986391,1.721455805,0,0,0,0,2,0,0,1,4,16,0,0,30/08/2014 17:00,0,0,0,0,0,0.51135789,2.444703199,0.51135789,2.444703199,0.058565103,0.723247394,2014,SerieA
Roma -- Fiorentina,0.081490301,0,2.164969197,0,0.0145008,0,0,5,0,0,1,0,18,0,1,0,0,2,0,0,0.038114902,0,0.339500313,0,0,1,0,3,0,0,1,0,9,0,0,30/08/2014 19:45,0,0,0,0,0,2.260960298,0.377615214,2.260960298,0.377615214,0.0959911,0.038114902,2014,SerieA
AC Milan -- Lazio,0,0,1.249990663,0.761299014,0,0,0,3,1,0,0,0,7,1,0,0,0,2,1,0,0,0.83056449,0.448339654,0.761299014,0,0,2,1,1,0,0,8,11,1,0,31/08/2014 17:00,0,0,0,0,0,2.011289677,2.040203158,1.249990663,1.278904144,0,0.83056449,2014,SerieA
Atalanta -- Verona,0,0.062323699,0.818669291,0,0,0,0,1,0,0,0,2,9,0,0,0,0,0,0,0,0,0.316599011,0.410538398,0,0,0,0,3,0,0,0,1,8,0,0,31/08/2014 17:00,0,0,0,0,0,0.88099299,0.727137409,0.88099299,0.727137409,0.062323699,0.316599011,2014,SerieA
Cesena -- Parma,0.049118001,0.026782401,1.094514283,0,0,0,1,4,0,0,1,1,7,0,0,0,0,1,0,0,0.108342599,0,0.330208605,0,0,0,0,1,0,0,2,0,10,0,0,31/08/2014 19:45,0,0,0,0,0,1.170414685,0.438551204,1.170414685,0.438551204,0.075900402,0.108342599,2014,SerieA
Genoa -- Napoli,0,0.1675511,0.352994158,0,0,0,0,5,0,0,0,2,9,0,0,0,0,1,0,0,0,0.072039898,1.683322097,0,0.0391929,0,0,5,0,0,0,2,12,0,1,31/08/2014 19:45,0,0,2,0,0,0.520545258,1.794554896,0.520545258,1.794554896,0.1675511,0.111232799,2014,SerieA
Palermo -- Sampdoria,0,0,0.908602191,0,0.0143409,0,0,1,0,0,0,0,7,0,1,0,0,1,0,0,0.103620999,0.457821695,0.2332446,0,0.00877761,0,1,2,0,0,1,2,6,0,1,31/08/2014 19:45,0,1,0,0,0,0.922943091,0.803464903,0.922943091,0.803464903,0.0143409,0.570220304,2014,SerieA
Sassuolo -- Cagliari,0.063939203,0,1.016342005,0,0,0,0,5,0,0,2,0,11,0,0,0,0,1,0,0,0,0,0.783945212,0,0.070633098,0,0,3,0,1,0,0,9,0,1,31/08/2014 19:45,0,0,1,0,0,1.080281207,0.854578311,1.080281207,0.854578311,0.063939203,0.070633098,2014,SerieA
Torino -- Inter,0,0.052565999,0.285860889,0.761299014,0,0,0,1,1,0,0,1,9,1,0,0,0,0,0,0,0,0.496054709,0.684565494,0,0.133121997,0,0,2,0,0,0,3,10,0,1,31/08/2014 19:45,0,0,0,0,0,1.099725902,1.3137422,0.338426888,1.3137422,0.052565999,0.629176706,2014,SerieA
Udinese -- Empoli,0,0,1.690367883,0,0,0,0,5,0,0,0,0,15,0,0,0,0,2,0,0,0,0.0986211,0.590629341,0,0,0,0,2,0,0,0,3,11,0,0,31/08/2014 19:45,0,0,0,0,0,1.690367883,0.689250441,1.690367883,0.689250441,0,0.0986211,2014,SerieA
