fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Parma Calcio 1913 -- Juventus,0.085504301,0.022789899,0.155731505,0,0,0,0,2,0,0,2,1,5,0,0,0,0,0,0,0,24/08/2019 17:00,0.050646599,0.544410694,1.243573116,0,0.058066301,1,1,2,0,0,1,2,10,0,1,0,1,0,0,0,0.264025705,1.896696711,0.264025705,1.896696711,0.1082942,0.653123595,2019,SerieA
Fiorentina -- Napoli,0.037561402,0.508959409,0.5683893,0.761299014,0.065840099,0,1,4,1,0,1,3,13,1,2,0,1,1,1,0,24/08/2019 19:45,0,0.152153499,1.031659307,0.761299014,0,0,1,5,1,0,0,4,10,1,0,0,0,3,1,0,1.942049224,1.94511182,1.18075021,1.183812806,0.61236091,0.152153499,2019,SerieA
Udinese -- AC Milan,0,0.1559898,0.516649303,0,0.104905002,0,1,5,0,0,0,3,13,0,1,0,1,0,0,0,25/08/2019 17:00,0.038610499,0.207569696,0.387474085,0,0,0,0,0,0,0,1,2,11,0,0,0,0,0,0,0,0.777544104,0.633654281,0.777544104,0.633654281,0.260894801,0.246180195,2019,SerieA
Cagliari -- Brescia,0,0.161843204,0.837063612,0,0,0,2,2,0,0,0,3,11,0,0,0,0,0,0,0,25/08/2019 19:45,0,0.146403899,0.427754506,0.761299014,0,0,0,1,1,0,0,4,5,1,0,0,0,0,1,0,0.998906816,1.33545742,0.998906816,0.574158406,0.161843204,0.146403899,2019,SerieA
Roma -- Genoa,0.134764101,0.031940451,2.440839757,0,0.0192814,2,1,6,0,0,3,2,17,0,1,1,0,2,0,0,25/08/2019 19:45,0,0.0140795,0.337134492,0.761259019,0.0134249,0,0,3,1,0,0,1,3,1,1,0,0,2,1,0,2.626825709,1.125897911,2.626825709,0.364638892,0.185985953,0.0275044,2019,SerieA
SPAL 2013 -- Atalanta,0,0,1.484951204,0,0,0,0,3,0,0,0,0,9,0,0,0,0,2,0,0,25/08/2019 19:45,0,0.075743901,1.561423599,0,0.064119302,0,0,13,0,0,0,4,16,0,1,0,0,3,0,0,1.484951204,1.701286801,1.484951204,1.701286801,0,0.139863202,2019,SerieA
Sampdoria -- Lazio,0.080693103,0.0415984,0.447785702,0,0.057368599,0,1,7,0,0,1,2,12,0,1,0,0,0,0,0,25/08/2019 19:45,0,0,1.446033081,0,0.102847002,0,0,9,0,1,0,0,16,0,1,0,0,2,0,1,0.627445804,1.548880083,0.627445804,1.548880083,0.179660102,0.102847002,2019,SerieA
Torino -- Sassuolo,0,0,1.874463057,0,0,0,0,4,0,0,0,0,11,0,0,0,0,2,0,0,25/08/2019 19:45,0.017678199,0.372360002,0.976449668,0,0,1,1,7,0,0,1,2,17,0,0,0,0,1,0,0,1.874463057,1.36648787,1.874463057,1.36648787,0,0.390038202,2019,SerieA
Verona -- Bologna,0.057876401,0,0.051868619,0,0,1,0,1,0,0,1,0,4,0,0,1,0,0,0,0,25/08/2019 19:45,0.059412301,0.448219806,0.84107041,0.761299014,0,0,0,2,1,0,1,2,12,1,0,0,0,0,1,0,0.10974502,2.11000153,0.10974502,1.348702516,0.057876401,0.507632107,2019,SerieA
Inter -- Lecce,0,0.125277702,2.027973204,0,0,0,0,8,0,0,0,3,21,0,0,0,0,4,0,0,26/08/2019 19:45,0,0.0983041,0.299247433,0,0.0112158,0,0,2,0,0,0,3,13,0,1,0,0,0,0,0,2.153250906,0.408767334,2.153250906,0.408767334,0.125277702,0.109519901,2019,SerieA
